order_id,order_date,ship_mode_key,customer_key,location_key,product_key,sales,quantity,discount,profit
US-2016-118983,11/22/2016 12:00:00 AM,1,331,418,422,68.81,5,0.8,-123.86
US-2016-118983,11/22/2016 12:00:00 AM,1,331,418,664,2.54,3,0.8,-3.82
CA-2015-105893,11/11/2015 12:00:00 AM,1,598,295,1409,665.88,6,0,13.32
CA-2017-137330,12/9/2017 12:00:00 AM,1,418,373,478,19.46,7,0,5.06
CA-2017-137330,12/9/2017 12:00:00 AM,1,418,373,409,60.34,7,0,15.69
CA-2018-107727,10/19/2018 12:00:00 AM,2,483,426,1035,29.47,3,0.2,9.95
CA-2017-117590,12/8/2017 12:00:00 AM,3,301,407,1862,1097.54,7,0.2,123.47
CA-2017-117590,12/8/2017 12:00:00 AM,3,301,407,266,190.92,5,0.6,-147.96
CA-2016-117415,12/27/2016 12:00:00 AM,1,705,424,876,113.33,9,0.2,35.41
CA-2016-117415,12/27/2016 12:00:00 AM,1,705,424,21,532.4,3,0.32,-46.98
CA-2016-117415,12/27/2016 12:00:00 AM,1,705,424,121,212.06,3,0.3,-15.15
CA-2016-117415,12/27/2016 12:00:00 AM,1,705,424,1697,371.17,4,0.2,41.76
CA-2018-120999,9/10/2018 12:00:00 AM,1,453,345,1831,147.17,4,0.2,16.56
CA-2017-118255,3/11/2017 12:00:00 AM,3,580,306,1463,45.98,2,0,19.77
CA-2017-118255,3/11/2017 12:00:00 AM,3,580,306,768,17.46,2,0,8.21
CA-2015-146703,10/20/2015 12:00:00 AM,2,604,266,1353,211.96,4,0,8.48
CA-2016-115742,4/18/2016 12:00:00 AM,1,231,252,823,38.22,6,0,17.96
CA-2016-115742,4/18/2016 12:00:00 AM,1,231,252,981,75.18,6,0,35.33
CA-2016-115742,4/18/2016 12:00:00 AM,1,231,252,193,6.16,2,0,2.96
CA-2016-115742,4/18/2016 12:00:00 AM,1,231,252,101,89.99,1,0,17.1
US-2016-164175,4/30/2016 12:00:00 AM,1,610,347,66,213.11,5,0.3,-15.22
CA-2018-114440,9/14/2018 12:00:00 AM,2,739,278,1277,19.05,3,0,8.76
US-2018-118038,12/9/2018 12:00:00 AM,3,419,424,810,1.25,3,0.8,-1.93
US-2018-118038,12/9/2018 12:00:00 AM,3,419,424,148,9.71,3,0.6,-5.82
US-2018-118038,12/9/2018 12:00:00 AM,3,419,424,1308,27.24,3,0.2,2.72
US-2015-147606,11/26/2015 12:00:00 AM,2,357,425,251,19.3,5,0.6,-14.48
US-2018-119662,11/13/2018 12:00:00 AM,3,179,348,1399,230.38,3,0.2,-48.95
CA-2018-155558,10/26/2018 12:00:00 AM,1,593,312,1514,19.99,1,0,6.8
CA-2018-155558,10/26/2018 12:00:00 AM,1,593,312,946,6.16,2,0,2.96
CA-2017-159695,4/5/2017 12:00:00 AM,2,305,426,1392,158.37,7,0.2,13.86
CA-2016-149587,1/31/2016 12:00:00 AM,2,416,310,1208,12.96,2,0,6.22
CA-2016-149587,1/31/2016 12:00:00 AM,2,416,310,273,53.34,3,0,16.54
CA-2016-149587,1/31/2016 12:00:00 AM,2,416,310,753,32.96,2,0,16.15
CA-2017-149223,9/6/2017 12:00:00 AM,1,277,304,386,77.88,6,0,22.59
CA-2017-158568,8/29/2017 12:00:00 AM,1,624,347,1211,64.62,7,0.2,22.62
CA-2017-158568,8/29/2017 12:00:00 AM,1,624,347,1507,95.98,3,0.2,-10.8
CA-2017-158568,8/29/2017 12:00:00 AM,1,624,347,744,1.79,3,0.8,-3.04
CA-2017-129903,12/1/2017 12:00:00 AM,2,315,312,1247,23.92,4,0,11.72
CA-2016-129476,10/15/2016 12:00:00 AM,1,582,342,1478,339.96,5,0.2,67.99
CA-2017-128867,11/3/2017 12:00:00 AM,1,153,282,482,75.96,2,0,22.79
CA-2017-128867,11/3/2017 12:00:00 AM,1,153,282,798,27.24,6,0,13.35
US-2015-152030,12/26/2015 12:00:00 AM,2,16,424,119,600.56,3,0.3,-8.58
US-2015-134614,9/20/2015 12:00:00 AM,1,590,353,370,617.7,6,0.5,-407.68
CA-2018-155376,12/22/2018 12:00:00 AM,1,688,363,397,839.43,3,0,218.25
CA-2017-114489,12/5/2017 12:00:00 AM,1,358,290,1689,384.45,11,0,103.8
CA-2017-114489,12/5/2017 12:00:00 AM,1,358,290,1724,149.97,3,0,6
CA-2017-114489,12/5/2017 12:00:00 AM,1,358,290,56,1951.84,8,0,585.55
CA-2017-114489,12/5/2017 12:00:00 AM,1,358,290,746,171.55,5,0,80.63
CA-2017-114104,11/20/2017 12:00:00 AM,1,572,391,980,14.62,2,0,6.87
CA-2017-114104,11/20/2017 12:00:00 AM,1,572,391,1845,944.93,7,0,236.23
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,619,9.94,3,0.2,2.73
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,1625,8159.95,8,0.4,-1359.99
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,1326,275.93,3,0.2,-58.63
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,122,1740.06,9,0.3,-24.86
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,557,32.06,6,0.2,6.81
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,429,177.98,5,0.8,-453.85
CA-2015-139892,9/8/2015 12:00:00 AM,1,91,442,1824,143.98,3,0.2,9
US-2015-100853,9/14/2015 12:00:00 AM,1,341,348,394,52.45,2,0.8,-131.12
US-2015-100853,9/14/2015 12:00:00 AM,1,341,348,986,20.16,4,0.2,6.55
US-2018-152366,4/21/2018 12:00:00 AM,2,697,423,434,97.26,4,0.8,-243.16
CA-2015-166191,12/5/2015 12:00:00 AM,2,215,358,1393,24.82,2,0.2,1.86
CA-2015-166191,12/5/2015 12:00:00 AM,2,215,358,1590,408.74,7,0.2,76.64
CA-2017-157000,7/16/2017 12:00:00 AM,1,41,404,1337,37.22,3,0.2,3.72
CA-2017-157000,7/16/2017 12:00:00 AM,1,41,404,1142,20.02,3,0.2,6.25
US-2018-116701,12/17/2018 12:00:00 AM,2,456,412,445,66.28,2,0.8,-178.97
CA-2018-135860,12/1/2018 12:00:00 AM,1,372,274,1311,83.92,4,0,5.87
CA-2018-135860,12/1/2018 12:00:00 AM,1,372,274,1738,131.98,2,0,35.63
CA-2018-135860,12/1/2018 12:00:00 AM,1,372,274,767,15.92,4,0,7.48
CA-2018-135860,12/1/2018 12:00:00 AM,1,372,274,903,52.29,9,0,16.21
CA-2018-135860,12/1/2018 12:00:00 AM,1,372,274,1347,91.99,1,0,3.68
CA-2016-101007,2/9/2016 12:00:00 AM,2,542,412,1491,20.8,2,0.2,6.5
CA-2016-163055,8/9/2016 12:00:00 AM,1,239,269,503,2.2,1,0,0.97
CA-2016-163055,8/9/2016 12:00:00 AM,1,239,269,359,622.45,5,0,136.94
CA-2016-163055,8/9/2016 12:00:00 AM,1,239,269,1372,21.98,1,0,0.22
CA-2017-157749,6/4/2017 12:00:00 AM,2,435,347,1215,25.92,5,0.2,9.4
CA-2017-157749,6/4/2017 12:00:00 AM,2,435,347,159,419.68,5,0.6,-356.73
CA-2017-157749,6/4/2017 12:00:00 AM,2,435,347,298,11.69,3,0.6,-4.68
